id,location,fault_severity,severity_type,resource_type,event_count,unique_event_count,log_feature_count,unique_log_features,total_log_volume,mean_log_volume,max_log_volume,min_log_volume,date
14121,location 118,1,severity_type 2,resource_type 2,2,2,2,2,38,19.0,19,19,2025-02-02
9320,location 91,0,severity_type 2,resource_type 2,2,2,2,2,316,158.0,200,116,2025-10-10
14394,location 152,1,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-08-27
8218,location 931,1,severity_type 1,resource_type 8,2,2,3,3,22,7.333333333333333,12,1,2025-06-10
14804,location 120,0,severity_type 1,resource_type 2,4,4,9,9,12,1.3333333333333333,2,1,2025-06-08
1080,location 664,0,severity_type 1,resource_type 8,1,1,2,2,16,8.0,8,8,2025-11-10
9731,location 640,0,severity_type 4,resource_type 2,1,1,1,1,3,3.0,3,3,2025-02-01
15505,location 122,0,severity_type 2,resource_type 2,2,2,6,6,14,2.333333333333333,5,1,2025-09-12
3443,location 263,1,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-03-15
13300,location 613,1,severity_type 1,resource_type 8,2,2,2,2,31,15.5,30,1,2025-02-04
8976,location 760,1,severity_type 1,resource_type 8,2,2,3,3,5,1.6666666666666667,2,1,2025-07-12
7965,location 519,0,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-12-23
10342,location 746,0,severity_type 1,resource_type 2,2,2,4,4,8,2.0,3,1,2025-09-26
6741,location 1066,1,severity_type 1,resource_type 8,2,2,2,2,6,3.0,5,1,2025-10-05
7187,location 812,0,severity_type 1,resource_type 8,1,1,4,4,17,4.25,5,3,2025-09-19
16780,location 343,0,severity_type 2,resource_type 2,1,1,2,2,2,1.0,1,1,2025-10-14
14195,location 133,0,severity_type 2,resource_type 2,2,2,4,4,4,1.0,1,1,2025-07-07
14025,location 976,0,severity_type 1,resource_type 8,2,2,2,2,7,3.5,6,1,2025-02-16
8548,location 948,1,severity_type 1,resource_type 8,2,2,1,1,2,2.0,2,2,2025-11-03
9566,location 808,0,severity_type 1,resource_type 8,2,2,2,2,9,4.5,5,4,2025-06-14
15652,location 894,0,severity_type 1,resource_type 2,4,4,8,8,172,21.5,34,2,2025-07-02
3931,location 875,0,severity_type 1,resource_type 8,1,1,2,2,6,3.0,4,2,2025-05-16
4557,location 1024,0,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-03-08
3610,location 166,0,severity_type 4,resource_type 2,1,1,1,1,1,1.0,1,1,2025-12-05
16574,location 687,0,severity_type 4,resource_type 8,1,1,1,1,1,1.0,1,1,2025-10-13
7504,location 1016,1,severity_type 1,resource_type 8,1,1,2,2,2,1.0,1,1,2025-08-24
9735,location 707,0,severity_type 2,resource_type 8,1,1,2,2,10,5.0,6,4,2025-05-27
14048,location 978,1,severity_type 1,resource_type 8,2,2,2,2,3,1.5,2,1,2025-10-28
6769,location 775,0,severity_type 1,resource_type 8,2,2,2,2,7,3.5,4,3,2025-07-19
2514,location 829,0,severity_type 2,resource_type 8,1,1,2,2,6,3.0,5,1,2025-06-11
896,location 732,0,severity_type 1,resource_type 8,1,1,2,2,2,1.0,1,1,2025-06-14
4757,location 508,0,severity_type 2,resource_type 2,2,2,8,8,103,12.875,20,4,2025-03-24
16358,location 257,1,severity_type 1,resource_type 2,1,1,2,2,2,1.0,1,1,2025-02-03
11810,location 116,0,severity_type 2,resource_type 2,2,2,2,2,6,3.0,4,2,2025-07-22
7274,location 830,1,severity_type 1,resource_type 8,1,1,3,3,4,1.3333333333333333,2,1,2025-11-21
2972,location 491,0,severity_type 2,resource_type 2,2,2,2,2,4,2.0,2,2,2025-01-24
7392,location 253,0,severity_type 2,resource_type 2,2,2,6,6,10,1.6666666666666667,2,1,2025-11-10
6824,location 740,0,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-10-30
4311,location 704,2,severity_type 1,resource_type 8,2,2,6,6,51,8.5,20,1,2025-04-12
12261,location 1089,2,severity_type 1,resource_type 8,1,1,3,3,29,9.666666666666666,17,1,2025-08-19
