ticket_id,raw_incident_signature,semantic_incident_signature,root_cause,successful_resolution,operator,operator_notes,confirmed_at
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"['Verify radio interface status and check recent frequency or power changes.', 'Compare the affected cell with neighboring cells for radio quality differences.']",NOC Operator,,2026-08-18T17:49:01.291547+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Fiber Link Degradation,"Inspect optical transport interface indicators, verify physical connectivity and fiber integrity.",NOC Operator,,2026-08-18T18:08:08.567205+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"Check radio quality indicators, compare the affected cell with neighbors, and review recent maintenance activity.",NOC Operator,,2026-08-18T18:10:56.266493+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,Replace faulty radio modules,NOC Operator,,2026-08-18T18:20:34.336657+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"Inspect radio interface status, check recent frequency or power changes, and review maintenance history.",NOC Operator,,2026-08-18T18:53:12.557705+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"Inspect radio interface status, check recent frequency or power changes, and review maintenance history.",NOC Operator,,2026-08-18T19:06:22.449306+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"Review recent frequency or power changes, check cell-level alarms, and verify radio parameters.",NOC Operator,,2026-08-18T19:09:15.754796+00:00
14123,Severity Type: severity_type 1 | Resource Type: resource_type 3 | Event Types: event_type 45 | Log Features: log_feature 310,Severity: Informational Alert | Resource: IP Edge Aggregation Switch | Events: BGP Dampening Activated | Feature Groups: Security & Control Plane Indicators,Configuration Error,"Review recent configuration changes, validate against known-good configurations, and compare with neighboring routers.",NOC Operator,,2026-08-18T19:45:42.635151+00:00
14122,Severity Type: severity_type 2 | Resource Type: resource_type 2 | Event Types: event_type 32 | Log Features: log_feature 234,Severity: Warning Alert | Resource: DWDM Optical Transponder | Events: Signal Degrade (SD) Alarm | Feature Groups: Optical & Physical Layer Indicators,Radio Equipment Failure,"Review maintenance history, check recent frequency or power changes, and verify radio parameters.",NOC Operator,,2026-08-18T19:55:57.601856+00:00
14124,Severity Type: severity_type 3 | Resource Type: resource_type 1 | Event Types: event_type 17 | Log Features: log_feature 156,Severity: Minor Impairment Alert | Resource: Core Router Group | Events: Fiber Attenuation Warning | Feature Groups: Power & Voltage Indicators,Configuration Error,"Review change impact, compare new configuration with known-good configuration, and check affected interfaces",NOC Operator,,2026-08-18T20:01:43.277863+00:00
14123,Severity Type: severity_type 1 | Resource Type: resource_type 3 | Event Types: event_type 45 | Log Features: log_feature 310,Severity: Informational Alert | Resource: IP Edge Aggregation Switch | Events: BGP Dampening Activated | Feature Groups: Security & Control Plane Indicators,Configuration Error,"['Compare the affected configuration with a known-good template, then review change impact and rollback if necessary. ']",NOC Operator,,2026-08-18T20:01:48.961644+00:00
14124,Severity Type: severity_type 3 | Resource Type: resource_type 1 | Event Types: event_type 17 | Log Features: log_feature 156,Severity: Minor Impairment Alert | Resource: Core Router Group | Events: Fiber Attenuation Warning | Feature Groups: Power & Voltage Indicators,Resource Utilization,Check switch port utilization and replace faulty components.,NOC Operator,,2026-08-18T20:08:58.791853+00:00
